region	status	short_histology	count	region_type
10p	gain	All	18	arm
10p	loss	All	96	arm
10p	gain	Medulloblastoma	4	arm
10p	gain	Neuroblastoma	4	arm
10p	loss	Choroid plexus tumor	7	arm
10p	loss	Ependymoma	7	arm
10p	loss	HGAT	6	arm
10p	loss	LGAT	4	arm
10p	loss	Medulloblastoma	16	arm
10p	loss	Neuroblastoma	43	arm
10p11.21	loss	All	4	cytoband
10p11.22	loss	All	11	cytoband
10p11.22	loss	HGAT	6	cytoband
10p11.23	gain	All	4	cytoband
10p11.23	loss	All	14	cytoband
10p11.23	gain	Neuroblastoma	4	cytoband
10p11.23	loss	HGAT	8	cytoband
10p12.1	gain	All	7	cytoband
10p12.1	loss	All	10	cytoband
10p12.1	gain	Neuroblastoma	4	cytoband
10p12.1	loss	HGAT	6	cytoband
10p12.2	gain	All	7	cytoband
10p12.2	loss	All	11	cytoband
10p12.2	loss	HGAT	7	cytoband
10p12.31	gain	All	8	cytoband
10p12.31	loss	All	9	cytoband
10p12.31	loss	HGAT	4	cytoband
10p12.32	gain	All	11	cytoband
10p12.32	loss	All	10	cytoband
10p12.32	gain	Neuroblastoma	5	cytoband
10p12.32	loss	HGAT	5	cytoband
10p12.33	gain	All	11	cytoband
10p12.33	loss	All	9	cytoband
10p12.33	gain	Neuroblastoma	5	cytoband
10p12.33	loss	HGAT	5	cytoband
10p13	gain	All	12	cytoband
10p13	loss	All	8	cytoband
10p13	gain	Neuroblastoma	5	cytoband
10p13	loss	HGAT	5	cytoband
10p14	gain	All	10	cytoband
10p14	loss	All	11	cytoband
10p14	gain	Neuroblastoma	6	cytoband
10p14	loss	HGAT	5	cytoband
10p15.1	gain	All	11	cytoband
10p15.1	loss	All	16	cytoband
10p15.1	gain	Neuroblastoma	5	cytoband
10p15.1	loss	HGAT	6	cytoband
10p15.2	gain	All	11	cytoband
10p15.2	loss	All	19	cytoband
10p15.2	gain	Neuroblastoma	5	cytoband
10p15.2	loss	HGAT	7	cytoband
10p15.2	loss	Neuroblastoma	5	cytoband
10p15.3	gain	All	6	cytoband
10p15.3	loss	All	4	cytoband
10p15.3	gain	Neuroblastoma	4	cytoband
10q	gain	All	10	arm
10q	loss	All	107	arm
10q	gain	Neuroblastoma	4	arm
10q	loss	Choroid plexus tumor	7	arm
10q	loss	Ependymoma	8	arm
10q	loss	HGAT	14	arm
10q	loss	LGAT	4	arm
10q	loss	Medulloblastoma	17	arm
10q	loss	Neuroblastoma	43	arm
10q11.23	gain	All	8	cytoband
10q11.23	loss	All	6	cytoband
10q11.23	gain	HGAT	4	cytoband
10q21.1	gain	All	8	cytoband
10q21.1	loss	All	12	cytoband
10q21.1	loss	HGAT	4	cytoband
10q21.2	gain	All	8	cytoband
10q21.2	loss	All	18	cytoband
10q21.2	loss	HGAT	7	cytoband
10q21.3	gain	All	6	cytoband
10q21.3	loss	All	18	cytoband
10q21.3	loss	HGAT	7	cytoband
10q22.1	gain	All	7	cytoband
10q22.1	loss	All	32	cytoband
10q22.1	loss	HGAT	12	cytoband
10q22.1	loss	Medulloblastoma	6	cytoband
10q22.1	loss	Neuroblastoma	7	cytoband
10q22.2	gain	All	6	cytoband
10q22.2	loss	All	39	cytoband
10q22.2	loss	HGAT	16	cytoband
10q22.2	loss	Medulloblastoma	7	cytoband
10q22.2	loss	Neuroblastoma	9	cytoband
10q22.3	gain	All	5	cytoband
10q22.3	loss	All	37	cytoband
10q22.3	gain	Neuroblastoma	4	cytoband
10q22.3	loss	HGAT	16	cytoband
10q22.3	loss	Medulloblastoma	9	cytoband
10q22.3	loss	Neuroblastoma	7	cytoband
10q23.1	gain	All	5	cytoband
10q23.1	loss	All	45	cytoband
10q23.1	gain	Neuroblastoma	4	cytoband
10q23.1	loss	HGAT	22	cytoband
10q23.1	loss	Medulloblastoma	11	cytoband
10q23.1	loss	Neuroblastoma	7	cytoband
10q23.2	gain	All	5	cytoband
10q23.2	loss	All	46	cytoband
10q23.2	gain	Neuroblastoma	4	cytoband
10q23.2	loss	HGAT	21	cytoband
10q23.2	loss	Medulloblastoma	11	cytoband
10q23.2	loss	Neuroblastoma	9	cytoband
10q23.31	gain	All	5	cytoband
10q23.31	loss	All	49	cytoband
10q23.31	gain	Neuroblastoma	4	cytoband
10q23.31	loss	HGAT	24	cytoband
10q23.31	loss	Medulloblastoma	11	cytoband
10q23.31	loss	Neuroblastoma	9	cytoband
10q23.32	gain	All	5	cytoband
10q23.32	loss	All	52	cytoband
10q23.32	gain	Neuroblastoma	4	cytoband
10q23.32	loss	HGAT	25	cytoband
10q23.32	loss	Medulloblastoma	12	cytoband
10q23.32	loss	Neuroblastoma	10	cytoband
10q23.33	gain	All	5	cytoband
10q23.33	loss	All	51	cytoband
10q23.33	gain	Neuroblastoma	4	cytoband
10q23.33	loss	HGAT	24	cytoband
10q23.33	loss	Medulloblastoma	12	cytoband
10q23.33	loss	Neuroblastoma	10	cytoband
10q24.1	gain	All	5	cytoband
10q24.1	loss	All	51	cytoband
10q24.1	gain	Neuroblastoma	4	cytoband
10q24.1	loss	HGAT	22	cytoband
10q24.1	loss	Medulloblastoma	12	cytoband
10q24.1	loss	Neuroblastoma	12	cytoband
10q24.2	gain	All	4	cytoband
10q24.2	loss	All	50	cytoband
10q24.2	gain	Neuroblastoma	4	cytoband
10q24.2	loss	HGAT	22	cytoband
10q24.2	loss	Medulloblastoma	12	cytoband
10q24.2	loss	Neuroblastoma	12	cytoband
10q24.31	gain	All	5	cytoband
10q24.31	loss	All	51	cytoband
10q24.31	gain	Neuroblastoma	4	cytoband
10q24.31	loss	HGAT	21	cytoband
10q24.31	loss	Medulloblastoma	12	cytoband
10q24.31	loss	Neuroblastoma	14	cytoband
10q24.32	gain	All	5	cytoband
10q24.32	loss	All	52	cytoband
10q24.32	gain	Neuroblastoma	4	cytoband
10q24.32	loss	HGAT	23	cytoband
10q24.32	loss	Medulloblastoma	12	cytoband
10q24.32	loss	Neuroblastoma	13	cytoband
10q24.33	gain	All	4	cytoband
10q24.33	loss	All	48	cytoband
10q24.33	gain	Neuroblastoma	4	cytoband
10q24.33	loss	HGAT	23	cytoband
10q24.33	loss	Medulloblastoma	12	cytoband
10q24.33	loss	Neuroblastoma	9	cytoband
10q25.1	gain	All	4	cytoband
10q25.1	loss	All	52	cytoband
10q25.1	gain	Neuroblastoma	4	cytoband
10q25.1	loss	HGAT	24	cytoband
10q25.1	loss	Medulloblastoma	13	cytoband
10q25.1	loss	Neuroblastoma	11	cytoband
10q25.2	loss	All	53	cytoband
10q25.2	loss	HGAT	24	cytoband
10q25.2	loss	Medulloblastoma	12	cytoband
10q25.2	loss	Neuroblastoma	12	cytoband
10q25.3	loss	All	53	cytoband
